Bakery
The Winter Traveller
            Item Name                 Low       Mid       High   
FOODSTUFFS                      
                  Apples (1 lb.)      1 cp      2 cp      1 sp
                 Berries (1 lb.)      3 cp      5 cp      1 sp
                  Butter (1 lb.)      1 sp      2 sp      3 sp
                    Corn (1 lb.)      4 cp      6 cp      8 cp
               Feed Corn (1 lb.)      1 cp      1 cp      2 cp
              Sweet Corn (1 lb.)      8 cp      1 sp     12 cp
                Cornmeal (1 lb.)      6 cp      8 cp      1 sp
          Sweet Cornmeal (1 lb.)     12 cp     15 cp     18 cp
                  Eggs (1 dozen)      4 cp      6 cp      9 cp
                   Flour (1 lb.)      4 cp      5 cp      7 cp
                  Grapes (1 lb.)      1 cp      2 cp      1 sp
                   Honey (1 qt.)      6 sp      7 sp      8 sp
                   Milk (1 gal.)      1 cp      2 cp      4 cp
                    Nuts (1 lb.)      3 cp      5 cp      8 cp
                    Salt (1 lb.)      3 cp      5 cp      8 cp
                  Tallow (1 lb.)      4 sp      6 sp      8 sp
                   Wheat (1 lb.)      1 cp      2 cp      3 cp
DISHES                          
                        Biscuits      7 cp      1 sp      2 sp
                   Bread (slice)      2 cp      3 cp      5 cp
                    Bread (loaf)      6 cp      8 cp      1 sp
             White Bread (slice)      4 cp      6 cp      1 sp
              White Bread (loaf)     14 cp     16 cp      2 sp
               Cornbread (slice)      3 cp      4 cp      5 cp
                Cornbread (loaf)      8 cp     11 cp     14 cp
         Sweet Cornbread (slice)      5 cp      6 cp      7 cp
          Sweet Cornbread (loaf)     15 cp     18 cp     22 cp
                        Doughnut      1 cp      2 cp      4 cp
                       Dumplings      3 cp      4 cp      5 cp
                Cheese Dumplings     12 cp     15 cp     18 cp
                Potato Dumplings      2 cp      3 cp      4 cp
                  Meat Dumplings     12 cp     15 cp     18 cp
             Vegetable Dumplings      7 cp      1 sp     12 cp
                        Hardtack      6 cp      8 cp      1 sp
                       Hushpuppy      4 cp      6 cp      1 sp
                         Kringle     17 cp      2 sp     25 cp
                         Pancake      4 cp      6 cp      8 cp
                       Apple Pie      1 sp     12 cp     15 cp
                       Berry Pie     26 cp     28 cp     35 cp
                         Nut Pie     12 cp     15 cp     18 cp
                   Shepherds Pie     25 cp     28 cp     32 cp

Questions? See the Demagus True Reference PDF
