Butcher Shop
The Wordly Lute
            Item Name                 Low       Mid       High   
WEAPONS                         
                          Dagger      1 gp      2 gp      3 gp
                         Handaxe      3 gp      5 gp      8 gp
                    Light Hammer      1 gp      2 gp      3 gp
FOODSTUFFS                      
                    Beef (1 lb.)      4 sp      6 sp      8 sp
                    Bread (loaf)      5 cp      8 cp      1 sp
                  Butter (1 lb.)      1 sp      2 sp      3 sp
                 Chicken (1 lb.)      1 sp      2 sp      4 sp
                    Fish (1 lb.)      2 sp      1 gp      2 gp
                    Eggs (dozen)      4 cp      6 cp      9 cp
                  Mutton (1 lb.)      1 sp      2 sp      4 sp
                    Pork (1 lb.)      1 sp      2 sp      4 sp
                    Salt (1 lb.)      3 cp      5 cp      8 cp
            Common Spice (1 lb.)      8 sp      1 gp      2 gp
          Uncommon Spice (1 lb.)      1 gp      2 gp      4 gp
                  Tallow (1 lb.)      4 sp      6 sp      8 sp
LIVESTOCK                       
                         Chicken      4 sp      6 sp      8 sp
                             Cow     32 gp      4 pp     52 gp
                            Goat      6 gp      8 gp     12 gp
                              Ox      4 pp     52 gp      6 pp
                             Pig     12 gp     15 gp      2 pp
                          Rabbit      1 sp      3 sp      4 sp
                           Sheep      6 gp      8 gp     12 gp
Dishes                          
                   Beef Sandwich     18 cp     22 cp      3 sp
                         Chicken     15 cp      2 sp     25 cp
                Chicken Sandwich     12 cp     16 cp     22 cp
                   Fried Chicken     17 cp     22 cp     27 cp
                      Fried Fish     24 cp      1 gp      2 gp
                     Brown Gravy      1 cp      2 cp      3 cp
                   Fish Sandwich     12 cp      5 sp     75 cp
                      Beef Jerky     16 sp      2 gp      3 gp
                      Mutton Leg     15 cp      2 sp     25 cp
                   Shepherds Pie     25 cp     28 cp     32 cp
                      Fried Pork     14 cp     18 cp     24 cp
                        Porkchop      3 sp      4 sp      5 sp
                     Salted Pork      9 sp     12 sp      2 gp
                    Beef Sausage     24 cp     26 cp      3 sp
                       Bratwurst     16 cp     18 cp      2 sp
                         Chorizo      2 sp     22 cp     26 cp
           Indeterminate Sausage      6 cp      8 cp      1 sp
                 Italian Sausage      2 sp     22 cp     26 cp
                          Polish     18 cp      2 sp     24 cp
                    Pork Sausage     11 cp     13 cp     15 cp
             Beef Summer Sausage     32 cp     34 cp     38 cp
             Pork Summer Sausage     18 cp      2 sp     24 cp
                           Steak      4 sp      6 sp      8 sp
                     Fried Steak      3 sp      5 sp      7 sp

Questions? See the Demagus True Reference PDF
